dong_kostat,dong_mois,sigungu_kostat,sigungu_mois,sido_kostat,sido_mois,dong_name_ko,dong_name_en,sigungu_name_ko,sido_name_ko,full_name_ko
11010530,1111053000,11010,11110,11,11,사직동,Sajik-dong,종로구,서울특별시,서울특별시 종로구 사직동
11010540,1111054000,11010,11110,11,11,삼청동,Samcheong-dong,종로구,서울특별시,서울특별시 종로구 삼청동
11010550,1111055000,11010,11110,11,11,부암동,Buam-dong,종로구,서울특별시,서울특별시 종로구 부암동
11010560,1111056000,11010,11110,11,11,평창동,Pyeongchang-dong,종로구,서울특별시,서울특별시 종로구 평창동
11010570,1111057000,11010,11110,11,11,무악동,Muak-dong,종로구,서울특별시,서울특별시 종로구 무악동
11010580,1111058000,11010,11110,11,11,교남동,Gyonam-dong,종로구,서울특별시,서울특별시 종로구 교남동
11010600,1111060000,11010,11110,11,11,가회동,Gahoe-dong,종로구,서울특별시,서울특별시 종로구 가회동
11010610,1111061500,11010,11110,11,11,종로1·2·3·4가동,Jongno 1·2·3·4-ga-dong,종로구,서울특별시,서울특별시 종로구 종로1·2·3·4가동
11010630,1111063000,11010,11110,11,11,종로5·6가동,Jongno 5·6-ga-dong,종로구,서울특별시,서울특별시 종로구 종로5·6가동
11010640,1111064000,11010,11110,11,11,이화동,Ihwa-dong,종로구,서울특별시,서울특별시 종로구 이화동
11010670,1111067000,11010,11110,11,11,창신1동,Changsin1-dong,종로구,서울특별시,서울특별시 종로구 창신1동
11010680,1111068000,11010,11110,11,11,창신2동,Changsin2-dong,종로구,서울특별시,서울특별시 종로구 창신2동
11010690,1111069000,11010,11110,11,11,창신3동,Changsin3-dong,종로구,서울특별시,서울특별시 종로구 창신3동
11010700,1111070000,11010,11110,11,11,숭인1동,Sungin1-dong,종로구,서울특별시,서울특별시 종로구 숭인1동
11010710,1111071000,11010,11110,11,11,숭인2동,Sungin2-dong,종로구,서울특별시,서울특별시 종로구 숭인2동
