sigungu_kostat,sigungu_mois,sido_kostat,sido_mois,name_ko,name_en,dong_count
11010,11110,11,11,종로구,Jongno-gu,17
11020,11140,11,11,중구,Jung-gu,15
11030,11170,11,11,용산구,Yongsan-gu,16
11040,11200,11,11,성동구,Seongdong-gu,17
11050,11215,11,11,광진구,Gwangjin-gu,15
11060,11230,11,11,동대문구,Dongdaemun-gu,15
11070,11260,11,11,중랑구,Jungnang-gu,16
11080,11290,11,11,성북구,Seongbuk-gu,20
11090,11305,11,11,강북구,Gangbuk-gu,13
11100,11320,11,11,도봉구,Dobong-gu,14
11110,11350,11,11,노원구,Nowon-gu,19
11120,11380,11,11,은평구,Eunpyeong-gu,16
11130,11410,11,11,서대문구,Seodaemun-gu,14
11140,11440,11,11,마포구,Mapo-gu,16
11150,11470,11,11,양천구,Yangcheon-gu,18
11160,11500,11,11,강서구,Gangseo-gu,20
11170,11530,11,11,구로구,Guro-gu,16
11180,11545,11,11,금천구,Geumcheon-gu,10
11190,11560,11,11,영등포구,Yeongdeungpo-gu,18
11200,11590,11,11,동작구,Dongjak-gu,15
11210,11620,11,11,관악구,Gwanak-gu,21
11220,11650,11,11,서초구,Seocho-gu,18
11230,11680,11,11,강남구,Gangnam-gu,22
11240,11710,11,11,송파구,Songpa-gu,27
11250,11740,11,11,강동구,Gangdong-gu,19
12010,12210,12,12,동구,Dong-gu,13
12020,12240,12,12,서구,Seo-gu,18
12030,12270,12,12,남구,Nam-gu,17
12040,12300,12,12,북구,Buk-gu,27
12050,12330,12,12,광산구,Gwangsan-gu,21
12060,12110,12,12,목포시,Mokpo-si,23
12070,12130,12,12,여수시,Yeosu-si,27
12080,12150,12,12,순천시,Suncheon-si,24
12090,12170,12,12,나주시,Naju-si,20
12100,12190,12,12,광양시,Gwangyang-si,12
12510,12710,12,12,담양군,Damyang-gun,12
12520,12720,12,12,곡성군,Gokseong-gun,11
12530,12730,12,12,구례군,Gurye-gun,8
12550,12740,12,12,고흥군,Goheung-gun,16
12560,12750,12,12,보성군,Boseong-gun,12
12570,12760,12,12,화순군,Hwasun-gun,13
12580,12770,12,12,장흥군,Jangheung-gun,10
12590,12780,12,12,강진군,Gangjin-gun,11
12600,12790,12,12,해남군,Haenam-gun,14
12610,12800,12,12,영암군,Yeongam-gun,11
12620,12810,12,12,무안군,Muan-gun,9
12630,12820,12,12,함평군,Hampyeong-gun,9
12640,12830,12,12,영광군,Yeonggwang-gun,11
12650,12840,12,12,장성군,Jangseong-gun,11
12660,12850,12,12,완도군,Wando-gun,12
12670,12860,12,12,진도군,Jindo-gun,7
12680,12870,12,12,신안군,Sinan-gun,14
21010,26110,21,26,중구,Jung-gu,9
21020,26140,21,26,서구,Seo-gu,13
21030,26170,21,26,동구,Dong-gu,12
21040,26200,21,26,영도구,Yeongdo-gu,11
21050,26230,21,26,부산진구,Busanjin-gu,20
